KEY,TAG,SPEAKER,TONE OF VOICE,ENGLISH,RUSSIAN,GERMAN,SPANISH,CHINESE,AUDIO FILE,STATUS,NOTE
MEG_DAUGHTER_MESSAGE,MAIN,Meg,"Low, gritty, grounded female tone. Hardened survivor making a final audio log. Firm urgent plea, then heartfelt goodbye to daughter. Professional demeanor, quiet heartbreaking weariness. Fighting back tears, trying to sound strong.","To whoever finds this log... please, get it to my daughter. Lily, it's Mom. Things went sideways. I'm not coming home. Be brave for me. I love you, and I'll always be watching your back. End of transmission.","Если ты смотришь эту запись, пожалуйста, сделай для меня одолжение. Я знаю как работает система. Поэтому обращаюсь к тебе напрямую. Передай моей дочери это сообщение.","Wer auch immer das hier findet... bitte, gebt es meiner Tochter. Lily, hier ist Mom. Es ist schiefgelaufen. Ich komme nicht nach Hause. Sei tapfer für mich. Ich liebe dich, und ich werde immer auf dich aufpassen. Ende der Übertragung.","Quien encuentre esto... por favor, háganlo llegar a mi hija. Lily, soy mamá. Todo salió mal. No voy a volver a casa. Sé valiente por mí. Te quiero, y siempre cuidaré de ti. Fin de la transmisión.",无论谁找到这段记录……请把它交给我女儿。莉莉，是妈妈。事情出了差错。我回不了家了。替我勇敢。我爱你，我会永远守护你。传输结束。,Meg_00.wav,WRITTEN,"[P00] Алтарь и Запись для Лили — после третьей свечи, прямо в камеру"
MEG_ALTAR_MESSAGE_TO_LILY,MAIN,Meg,,,"Лили, твоя мама попала в серьёзную передрягу и не факт что я вернусь. Помни — что бы ни случилось, мама всегда с тобой. Неважно что.",,,,,DRAFT,[P00] Алтарь и Запись для Лили
STEVE_COMMENT_START,MAIN,Steve,"Deep, gravelly, exhausted male tone. Completely burned out and dead inside. Bored, cynical, monotone. Low energy, flat intonation. Sigh heavily before speaking. Emphasize swear word with tired frustration.",Sigh... For fuck's sake. Another weepy mom and her little girl. Let's just wrap this sob story up and go watch the Tigers game.,О боже... Очередная слезливая история мамы и её дочки. Как трогательно.,Seufz... Verdammte Scheiße. Wieder so eine heulende Mutti mit ihrem kleinen Mädchen. Lass uns die Schnulze hier abschließen und das Tigers-Spiel gucken.,Suspiro... Joder. Otra mamá llorona con su niñita. Terminemos con este dramón y vamos a ver el partido de los Tigers.,叹气……他妈的。又是一个哭哭啼啼的妈妈和她的小女孩。赶紧结束这出苦情戏，看老虎队比赛去吧。,Steve_01.wav,WRITTEN,[P00] Алтарь и Запись для Лили
JACK_CHECK_SIGNAL_LOST,MAIN,Jack,,,"Мэг, приём, всё в порядке? Связь отключилась?",,,,,DRAFT,[P00] Алтарь и Запись для Лили — рация
MEG_CONFIRM_ALL_CLEAR,MAIN,Meg,,,"Да, всё в норме. Нужно было оставить кое-какое послание. Не бери в голову.",,,,,DRAFT,[P00] Алтарь и Запись для Лили
JACK_NAVIGATE_BAKER_ST,MAIN,Jack,,,"Мм, понимаю. Хорошо, напротив тебя должна быть Бейкер-стрит, оттуда около 7 минут до вышки связи. Я с тобой. Постарайся не отключаться.",,,,,DRAFT,[P00] Алтарь и Запись для Лили
MEG_ACKNOWLEDGE_MOVE,MAIN,Meg,,,Извини. Нет проблем.,,,,,DRAFT,[P00] Алтарь и Запись для Лили
MEG_FOUND_CHAIN,MAIN,Meg,,"Damn, there's a chain. Need to find something to break it.",Чёрт... Надо найти чем сломать эту цепь.,,,,Meg_02.wav,WRITTEN,[P01] Переулок и Дверь на цепи — тихо
MEG_DOOR_LOCKED_NEED_KEY,MAIN,Meg,,,Заперто. Нужен ключ.,,,,,DRAFT,[P01] Первый Спуск в Подвал
MEG_PASSAGE_GONE_SHOCK,MAIN,Meg,,,Какого... Тут же был проход!,,,,,DRAFT,[P01] Души которые должны были встретиться — нервно
